Title,URL,Address,Compensation,Employment Type,Description
Support Engineer,https://sfbay.craigslist.org/pen/sof/d/support-engineer/6632943489.html,belmont,85K,full-time,"As a member of the Customer Support team, you will provide timely support for Bluescape users. This includes answering questions and addressing issues stemming from the deployment and use of Bluescape products.

RESPONSIBILITIES AND RESULTS

•	Develop and maintain a detailed understanding of Bluescape products. This includes the software associated with the Bluescape Service and the hardware that makes up the Bluescape Walls (e.g. - multi-touch monitors, Linux computers, A/V components).
•	Use Linux tools to configure and test the computers used to control Bluescape Walls.
•	Test pre-release Bluescape products and provide constructive feedback to product management and engineering.
•	Effectively communicate with customers via email, live chat, and on the phone to triage issues with Bluescape products.
•	Use sound problem-solving skills to determine the root cause of issues customers are facing.
•	Write customer facing documentation (aka, knowledge base articles) that describe how best to use Bluescape products.
•	Write internal documentation used by the customer support team to assist with triaging customer issues.
•	Use Bluescape's chosen CRM tools to track customer issues.
•	File product issues for engineering review using Bluescape's problem tracking system.
•	Build and maintain positive, collaborative working relationships with Bluescape teams, customers, influencers, and dealer partners to drive organizational goals and objectives.
•	Take initiative to stay current on products and company strategies to address customer, client, and partner questions.

QUALIFICATIONS

Education
	BA/BS (or equivalent) in a technical discipline (Information Systems, Computer Science, Engineering, Math, Physics, etc.)
Work Experience
•	Two years (or the equivalent) of customer support, service or operations in a mixed technology environment supporting either a SaaS or Enterprise software application.
•	Experience working directly with customers, both in-person and on the phone.

Skills and Knowledge
•	Excellent problem solving and analytical skills.
•	Fluent with Linux, Windows, and OS X operating systems.
•	Proven understanding of Linux systems administration with a working knowledge of process management, network configuration, shell scripting, logging, computer hardware peripherals, protocols like HTTPS, FTP, SCP, LDAP, etc. 
•	Working knowledge of computer networks: wired vs wireless, static vs dynamic IP, proxy configurations, firewalls.
•	Understand SaaS-based technologies.
•	Customer focused and team oriented.
•	Excellent written communication skills. The ability to write clear, concise documents and emails that have a logical flow, proper sentence structure and grammar.
•	Excellent verbal communication skills, both in person and on the phone.
•	Good listening skills and the ability to be empathetic toward others.
•	Proven ability to multitask, prioritize work load, and execute tasks effectively in a fast paced environment.  Having a bias for action.
•	Working knowledge of mobile technology platforms.
•	Must be comfortable and able to accurately input data pertaining to tracking and management of customer issues and Bluescape hardware assets that include company issued hardware and hardware sold to customers.
•	Must be able to lift 50lbs.

Additional Relevant Experience
•	Experience using a CRM system like Salesforce.
•	Working knowledge of technologies such as JIRA, Kibana, VMWare, SharePoint, Slack, RingCentral.
•	Understanding of IT security concepts as they relate to production environments.
•	Experience administering SaaS systems like Office 365, Box, RingCentral.
•	Experience with administration or operations of gaming or other highly interactive A/V technology.
•	Metric and fact oriented.

BEHAVIORAL REQUIREMENTS

Job Competencies
•	Takes Initiative in Business Unit - Demonstrates willingness to take action on problems or opportunities without prompting; possesses intrinsic desire and willingness to push toward achieving desired goal or end-state without suggestion from others; prepares alternatives so outcome is not jeopardized by unexpected barriers; exhibits desire to blaze new trails as means to end.
•	Team Orientation - Shows skill and ease at working in groups; works with others to achieve better results and forges close working relationships and alliances to get things done; is quick to cooperate versus expect others to bend to his/her wishes; supports joint ownership and shared recognition for results; recognizes advantages of group participation in planning and problem solving. 
•	Develops Technical Competence - Seeks to stay abreast of new developments in core competencies and learn enough about related fields to apply knowledge effectively in business; enjoys learning and is intellectually curious; has strong desire to continuously improve knowledge, skills, and abilities; sees learning and knowledge as keys to building skills and abilities essential to job and career success. 
•	Makes Profitable Recommendations in Contributor Role - Proactively weighs decisions, recommendations, and actions against their impact on bottom-line; looks for options that accomplish what needs to be done without compromising profitability; understands economics of processes used and those of customers; leverages knowledge of business and customer to provide recommendations that are efficient and practical. 
•	Attention to Detail - Committed to exactness and precision in task completion; identifies, pays attention to, and works to understand details; thorough and consistent in following up at detail level; seeks to become expert in disciplines related to adopted career path to ensure quality and precision in work; takes pride in knowledge base and level of expertise. 
•	Maximizes Results by Anticipating Obstacles That Could Impede Progress - Able to sort through bureaucracy, complexity, or politics to focus on required results; is not caught unprepared when obstacles are encountered; meets self-imposed standards of excellence by delivering agreed upon results that are straightforward and customer defined. 
•	Takes Personal Responsibility in Individual Contributor Role - Demonstrates attitude and commitment to take personal responsibility for results, even when in team environment with no authority over others; will step up to fill gaps so results can be assured; avoids excuses as explanations or defending/justifying negative but preventable outcomes. 
•	Teaching in Structured Setting - Demonstrates commitment to continuous education and training of others as means of increasing their overall competency and productivity; prepares more structured sessions to cover most critical areas of learning for audience; stays on top of information needed by colleagues and customers in effort to serve as resource; takes responsibility for motivating others to learn and retain key information; reinforces what is being taught through periodic repetition; regularly assesses individual and group competencies and routinely addresses them by adjusting training. 



DISCLAIMER
The above statements are intended to describe the general nature and level of work being performed by members assigned to this classification.  They are not intended to be construed as an exhaustive list of all responsibilities, duties, and skills required of personnel so classified."
Technical Support Engineer,https://sfbay.craigslist.org/sby/tch/d/technical-support-engineer/6633172189.html,san jose north,DOE,full-time,"We are a startup software company with a small team of hard working members focusing on the latest video compression technologies for offline transcoding and live encoding for enterprise level customers.  We are looking for Technical Support Engineer who is someone agile and can adapt well in fast paced work environment.
Responsibilities include, but not limited to, providing remote and on-site technical assistance, and devising and delivering solutions that exceed our customers' support expectations.  This position will be best-suited to someone who is eager to take on many responsibilities, the ability to demonstrate to work proactively and who enjoys working in a rapidly-changing environment.  As our team member, you will have the opportunity to develop your skills in a dynamic environment. 

Responsibilities
- Actively support customers in all aspects from pre-sales to post-sales
- Provide phone and email based technical support for our worldwide customers
- Use troubleshooting techniques and tools to identify issues

Desired skills and experiences
- Data/performance analysis and maintain technical reports
- Video and audio codec testing experience (MPEG-2, MPEG-4, H.264, H.265) preferred
- Any work with video/audio (editing, live production, transcoding, etc) either personally or professionally is a plus
- Ability to collaborate with development engineers in solving problems
- Ability to communicate clearly and effectively
- QA experience is a plus
- IT and network support experience is a plus, but not required

Applicants must be legally authorized to work in the U.S.
We will not sponsor individuals for employment visas, now or in the future."
Quality Assurance (QA) Engineer,https://sfbay.craigslist.org/sby/sof/d/quality-assurance-qa-engineer/6633179460.html,san jose north,DOE,part-time,"We are a startup software company with a small team of hard working members focusing on the latest video compression technologies for offline transcoding and live encoding for enterprise level customers.
We are looking for a QA engineer to improve, automate and execute testing for our software.  This position will be best-suited to someone who is a self-starter, has good work ethic, the ability to work proactively and who enjoys working in a rapidly-changing environment.

Responsibilities
-	Help QA manager develop new test plans and cases
-	Maintain QA automated systems and product testing to ensure that our product releases are reliable and robust

Desired skills and experiences
-	Experience in developing and executing test plans
-	Proficient in debug tool
-	Data/performance analysis and maintain technical reports
-	Scripting and test automation
-	Video and audio codec testing experience (MPEG-2, MPEG-4, H.264, H.265) preferred
-	Any work with video/audio (editing, live production, transcoding, etc) either personally or professionally is a plus
-	Ability to collaborate with development engineers in solving problems
-	Ability to communicate clearly and effectively
-	IT and network support experience is a plus, but not required

Applicants must be authorized to work in the U.S.
We will not sponsor individuals for employment visas, now or in the future for this position."
Senior Software Engineer,https://sfbay.craigslist.org/pen/sof/d/senior-software-engineer/6616969257.html,palo alto,$,full-time,"Position Summary

Our software engineering team is growing and we're looking for a Senior Software Engineer to be part of a fast-paced, high-energy, FinTech team at Stanford Federal Credit Union. Our engineers are serious about the success of our organization and are given the tools and environment they need to succeed. In the near-term we will be making several big architectural changes that this person will be responsible for researching and helping implement.  If you are an experienced engineer with a passion for technology and solving complex business problems and believe planning, hard work, teamwork, and quality is what it takes to succeed, then this is the job for you.

Team Culture

Work - are you someone that takes ownership, enjoys work, and wants to have an impact?

Innovate - are you someone that can't stand the status-quo?  do you improve upon the ideas of others?

Create - Like to build?  Do you have a creative drive?  We embrace creativity.

Service - We're all about our members.  we expect you to be relentless in your defense of the member experience.  We'll do the same.

Key Responsibilities

Work with product management, designers, and our dev team to help create new member-facing products.

Lead out in architecture decisions, helping our tech team develop the tech stack that will enable unparalleled innovation in the years to come.

Develop strategies with team members to optimize our member-facing products.

Help us integrate with the top FinTech companies to provide our members with the best in class digital experience.

Job Requirements

3+ years software development experience in a full-stack capacity.

Experience in software architecture design and concepts.

Experience with Mongo, Python, or Node would be ideal.

Experience with AGILE and SCRUM methodologies.

Strong analytical and problem-solving skills

Demonstrated aptitude for learning new technologies.

Ability to communicate and interface with technical and non-technical member of the organization.

Working knowledge of development tools and processes, such as source control, requirement spec, design, and design review, debugging, unit test, system test, performance test, etc.

Preferred but not required - Bachelor's degree or higher in Computer Science, Information Systems or a related field or equivalent professional development experience.

To Apply: Position Summary

Our software engineering team is growing and we're looking for a Senior Software Engineer to be part of a fast-paced, high-energy, FinTech team at Stanford Federal Credit Union. Our engineers are serious about the success of our organization and are given the tools and environment they need to succeed. In the near-term we will be making several big architectural changes that this person will be responsible for researching and helping implement.  If you are an experienced engineer with a passion for technology and solving complex business problems and believe planning, hard work, teamwork, and quality is what it takes to succeed, then this is the job for you.

Team Culture

Work - are you someone that takes ownership, enjoys work, and wants to have an impact?

Innovate - are you someone that can't stand the status-quo?  do you improve upon the ideas of others?

Create - Like to build?  Do you have a creative drive?  We embrace creativity.

Service - We're all about our members.  we expect you to be relentless in your defense of the member experience.  We'll do the same.

Key Responsibilities

Work with product management, designers, and our dev team to help create new member-facing products.

Lead out in architecture decisions, helping our tech team develop the tech stack that will enable unparalleled innovation in the years to come.

Develop strategies with team members to optimize our member-facing products.

Help us integrate with the top FinTech companies to provide our members with the best in class digital experience.

Job Requirements

3+ years software development experience in a full-stack capacity.

Experience in software architecture design and concepts.

Experience with Mongo, Python, or Node would be ideal.

Experience with AGILE and SCRUM methodologies.

Strong analytical and problem-solving skills

Demonstrated aptitude for learning new technologies.

Ability to communicate and interface with technical and non-technical member of the organization.

Working knowledge of development tools and processes, such as source control, requirement spec, design, and design review, debugging, unit test, system test, performance test, etc.

Preferred but not required - Bachelor's degree or higher in Computer Science, Information Systems or a related field or equivalent professional development experience.

To Apply: Position Summary

Our software engineering team is growing and we're looking for a Senior Software Engineer to be part of a fast-paced, high-energy, FinTech team at Stanford Federal Credit Union. Our engineers are serious about the success of our organization and are given the tools and environment they need to succeed. In the near-term we will be making several big architectural changes that this person will be responsible for researching and helping implement.  If you are an experienced engineer with a passion for technology and solving complex business problems and believe planning, hard work, teamwork, and quality is what it takes to succeed, then this is the job for you.

Team Culture

Work - are you someone that takes ownership, enjoys work, and wants to have an impact?

Innovate - are you someone that can't stand the status-quo?  do you improve upon the ideas of others?

Create - Like to build?  Do you have a creative drive?  We embrace creativity.

Service - We're all about our members.  we expect you to be relentless in your defense of the member experience.  We'll do the same.

Key Responsibilities

Work with product management, designers, and our dev team to help create new member-facing products.

Lead out in architecture decisions, helping our tech team develop the tech stack that will enable unparalleled innovation in the years to come.

Develop strategies with team members to optimize our member-facing products.

Help us integrate with the top FinTech companies to provide our members with the best in class digital experience.

Job Requirements

3+ years software development experience in a full-stack capacity.

Experience in software architecture design and concepts.

Experience with Mongo, Python, or Node would be ideal.

Experience with AGILE and SCRUM methodologies.

Strong analytical and problem-solving skills

Demonstrated aptitude for learning new technologies.

Ability to communicate and interface with technical and non-technical member of the organization.

Working knowledge of development tools and processes, such as source control, requirement spec, design, and design review, debugging, unit test, system test, performance test, etc.

Preferred but not required - Bachelor's degree or higher in Computer Science, Information Systems or a related field or equivalent professional development experience.

To Apply:"
Senior Civil Engineer - Land Development,https://sfbay.craigslist.org/eby/egr/d/senior-civil-engineer-land/6633524620.html,danville / san ramon,Commensurate with Experience,full-time,"provides its employees with opportunities for growth and advancement in an environment that inspires team spirit and lifelong learning.  As an employee of Fuscoe you will enjoy the transparent management philosophy and the culture we have developed.  We recognize our employees for outstanding efforts, professional and personal achievements.  Do you embody our   If you share our values and ideals and you are motivated to make remarkable places for people to live, work and play, then look no further!

 specializes in civil engineering, water quality management and land surveying.  We strive to develop cutting edge tools and practices in order to provide excellent service to our amazing clients. 
We are proud to say that Fuscoe has earned the distinction of being ranked as of one of the   We have also been named one of the  
We are currently seeking awith extensive experience in design within land development for our  office.  Put your solid working knowledge of engineering principles and standards to work by joining a firm with a wide variety of projects, from small, infill sites to full-scale master-planned communities for large developers.

•	Act as central design figure on team by designing the layout of grading, street improvements and underground facilities within firm design standards, agency processing requirements and client expectations.
•	Ensure quality of design and implement new ideas through supervision, participation, plan reviews and training of junior staff.
•	Assist team leader in client/agency interaction, endeavor to build lasting relationships and respect.


•	Any combination of bachelor's degree (B.S.) in Civil Engineering or equivalent discipline from a four-year college or university and civil engineering design experience totaling eight years; or equivalent combination of education and experience.
•	Minimum two years independently solving complex engineering problems within land development.
•	Successful candidates will have well-developed problem-solving, decision-making, communication and team building skills.
•	Proficiency in AutoCAD, LDD and/or Civil 3D software required.
•	California PE strongly preferred.


•	ESOP
•	401(k) with match
•	Discretionary Bonus Program
•	Medical, dental, vision & chiropractic
•	Life/AD&D coverage
•	Long Term Disability
•	Medical/Dependent Care FSA
•	AFLAC
•	Legal Shield
•	Professional Development support
•	Volunteer opportunities
•	Vacation, sick and holidays

For more information about our firm, please visit our website at: www.fuscoe.com/team/#jobs"
Model Maker,https://sfbay.craigslist.org/sby/egr/d/model-maker/6633592982.html,New Haven,with experience,full-time,"Company: KMCA Location: New Haven, CT 
Job Description

KMCA, Inc. is seeking both entry level or experienced model makers to join its team. 

KMCA is one of the leading builders of architectural models and prototypes.

If you have experience in an architectural and/or engineering model making environment fabricating high quality models and prototypes, working with CAD/CAM software as well as laser cutting, CNC machining skills and traditional model making, we want to talk to you.

The right candidate will have an opportunity to work on many diverse and interesting projects from all over the world.

Visit our website KMCA.com to learn more. 

Note: Candidates who are not U.S. citizens or permanent residents must have authorization to work in the US in order to apply."
Project Architect/Designer,https://sfbay.craigslist.org/nby/egr/d/project-architect-designer/6633700494.html,sonoma,Negotiable,full-time,"RossDrulisCusenbery, Architecture, Inc. Work in a dynamic studio environment for world class clients!  (RDC) is an award-winning firm with offices in Sonoma and Emeryville CA. RDC specializes in the planning and design of a broad sector of public and commercial projects. Current projects include hospitality, adaptive reuse, police and fire stations and emergency communication and operations centers. RDC is seeking an experienced architect/designer with strong design, technical and management skills for its Sonoma office. Competitive salary and benefits. Position requirements include:

Responsibilities: Utilizing Revit software, design, coordinate and assemble complete sets of design and construction documents • Work collaboratively with RDC Principals and project teams • Coordinate multiple aspects of client, engineer, sub-consultant and general contractor relationships • Review, coordinate and incorporate the work of structural, MEP, lighting, AV, landscape, civil  and other consultants • Manage project scope, schedule and budget requirements  •  Resolve technical building assembly, enclosure, waterproofing and design issues • Develop and maintain the project manual and specifications • Conduct  and document on-site observations • Process construction submittals, RFIs, substitution requests and shop drawings • Interface with building and permitting officials during the permitting and construction phases of the project. 

Qualifications: • 7-10 years of demonstrable experience as an architect/designer • Proficient in Revit and AutoCAD • 3D rendering and visualization skills a plus  • Knowledge of building codes, standards and building structures • Through understanding how buildings are constructed with the ability to create technical details and documents that succinctly describe the project • Strong leadership, organizational, communication and relationship management skills • Bachelor's Degree in Architecture or related field • CA Architectural license, LEED accreditation a plus."
Autonomous Vehicle Safety Driver | Fastest Growing Rideshare Company,https://sfbay.craigslist.org/pen/sof/d/autonomous-vehicle-safety/6633763449.html,palo alto,$32 - $36 per hour,full-time,
Software Engineer - Maps Transit Backend - 113781020,https://sfbay.craigslist.org/sby/sof/d/software-engineer-maps/6617185218.html,cupertino,Open,full-time,"Changing the world is all in a day's work at Apple. If you love innovation, here's your chance to make a career of it. You'll work hard. But the job comes with more than a few perks."
Software Engineer,https://sfbay.craigslist.org/pen/sof/d/software-engineer/6617251709.html,south san francisco,DOE,full-time,"The Health Plan of San Mateo (HPSM), a managed care health plan, seeks a full time Software Engineer to with systems users to ensure full utilization of HPSM's main production software and for writing or modifying programs that will enhance HPSM's computer system.

The essential duties and responsibilities will include the following:  

•Perform new release testing and implementation with appropriate documentation.
•Document errors and bugs in the claims/eligibility system and HPSM built software. 
•Manage Program Change Requests with users and vendors.
•Develop standardized and/or best practices testing processes.
•Develop, maintain, monitor, and ensure timeliness and accuracy of core system data processing and data interfaces (encounters/claims, membership, authorization, provider, configuration support, application and work flow support, etc.)
•Write new programs, modify existing programs, and prepare detailed programming specifications to meet the business user's requirements. 
•Author, maintain, and update documentation and checklists for systems and programs that are maintained by this position
•Manage vendor relationships as required to support daily operational needs.
•Actively seek customer satisfaction for services and processes that are supported.
•Advise management of system issues including policy decisions and application limitations.
•Be available to respond to and resolve issues 24/7.
•Learn new techniques, systems, and languages
•Produce ad hoc reports
•Perform other duties as assigned

Requirements:

Education and Experience: Bachelor's degree in Computer Science. Three (3) years of programming experience including system design and analysis, managed care experience, and preferably software change management and/or development experience.

Knowledge of: Healthcare and Claims processing in addition to membership processing. Software development on Unix AIX and DB2. Strong skills in Cobol and SQL. Query languages and other report writing tools. Systems and related systems interfaces and how changes impact various systems. Personal computers and proficiency in Microsoft Office Suite applications, including Outlook, Word, Excel, and PowerPoint.

Ability to: Quickly acquire a good working knowledge of HPSM's core system, as well COBOL and the AIX operating environment. Adapt to changes in requirements/priorities for daily and specialized tasks. Translate user needs to program functional specifications. Communicate and work with users to gather the necessary details to complete tasks/projects. Problem-solve and consider the entire solution. Work as part of a team. Work under and meet deadlines. Manage multiple job requests simultaneously. Communicate effectively and provide a high standard of customer service. Document work as needed.

Starting Compensation Range: - Depending on Experience 

Benefits Information: Excellent benefits package offered, including HPSM paid premiums for employee's coverage in the medical HMO plan and majority of PPO medical cost.  Employee pays a small portion (5%) of the dependent premiums for medical and dental benefits.  Additional HPSM benefits include fully paid vision, life, AD&D, STD, and LTD insurance; retirement plan (10% of salary for compensation/HPSM paid); holiday and vacation pay; tuition reimbursement plan; and more.

Application Process: To apply, submit a resume and cover letter with salary expectations to: Health Plan of San Mateo, Human Resources Department, 801 Gateway Blvd., Suite 100, South San Francisco, CA 94080 or via email: careers@hpsm.org or via fax: (650) 616-8039. File by: Continuous until filled. The Health Plan of San Mateo is proud to be an Equal Opportunity Employer and encourages minority candidates of all backgrounds to apply."
Software Engineer,https://sfbay.craigslist.org/pen/hea/d/software-engineer/6617250938.html,south san francisco,D.O.E.,full-time,"The Health Plan of San Mateo (HPSM), a managed care health plan, seeks a full time Software Engineer to with systems users to ensure full utilization of HPSM's main production software and for writing or modifying programs that will enhance HPSM's computer system.

The essential duties and responsibilities will include the following:  

•Perform new release testing and implementation with appropriate documentation.
•Document errors and bugs in the claims/eligibility system and HPSM built software. 
•Manage Program Change Requests with users and vendors.
•Develop standardized and/or best practices testing processes.
•Develop, maintain, monitor, and ensure timeliness and accuracy of core system data processing and data interfaces (encounters/claims, membership, authorization, provider, configuration support, application and work flow support, etc.)
•Write new programs, modify existing programs, and prepare detailed programming specifications to meet the business user's requirements. 
•Author, maintain, and update documentation and checklists for systems and programs that are maintained by this position
•Manage vendor relationships as required to support daily operational needs.
•Actively seek customer satisfaction for services and processes that are supported.
•Advise management of system issues including policy decisions and application limitations.
•Be available to respond to and resolve issues 24/7.
•Learn new techniques, systems, and languages
•Produce ad hoc reports
•Perform other duties as assigned

Requirements:

Education and Experience: Bachelor's degree in Computer Science. Three (3) years of programming experience including system design and analysis, managed care experience, and preferably software change management and/or development experience.
Knowledge of: Healthcare and Claims processing in addition to membership processing. Software development on Unix AIX and DB2. Strong skills in Cobol and SQL. Query languages and other report writing tools. Systems and related systems interfaces and how changes impact various systems. Personal computers and proficiency in Microsoft Office Suite applications, including Outlook, Word, Excel, and PowerPoint.

Ability to: Quickly acquire a good working knowledge of HPSM's core system, as well COBOL and the AIX operating environment. Adapt to changes in requirements/priorities for daily and specialized tasks. Translate user needs to program functional specifications. Communicate and work with users to gather the necessary details to complete tasks/projects. Problem-solve and consider the entire solution. Work as part of a team. Work under and meet deadlines. Manage multiple job requests simultaneously. Communicate effectively and provide a high standard of customer service. Document work as needed.

Starting Compensation Range: - Depending on Experience 

Benefits Information: Excellent benefits package offered, including HPSM paid premiums for employee's coverage in the medical HMO plan and majority of PPO medical cost.  Employee pays a small portion (5%) of the dependent premiums for medical and dental benefits.  Additional HPSM benefits include fully paid vision, life, AD&D, STD, and LTD insurance; retirement plan (10% of salary for compensation/HPSM paid); holiday and vacation pay; tuition reimbursement plan; and more.

Application Process: To apply, submit a resume and cover letter with salary expectations to: Health Plan of San Mateo, Human Resources Department. File by: Continuous until filled. The Health Plan of San Mateo is proud to be an Equal Opportunity Employer and encourages minority candidates of all backgrounds to apply. 

Submissions without a Cover Letter and Salary Expectations may not be considered."
Backend Sr. Software Engineer,https://sfbay.craigslist.org/pen/sof/d/backend-sr-software-engineer/6617297427.html,mountain view,"$170,000 - $180,000",full-time,"Must have the following skills:

Database Architect Exp.

Large Scale Server Side/Backend Exp

Data Modeling Experience


Position Summary:
We're looking for strong, thoughtful backend engineers that can build extensible, robust systems quickly with experience working in a professional engineering environment. In addition the candidate must have strong data modeling skills and experience with SQL and NoSQL databases. This is an awesome opportunity for you to be the owner for the data schemas across the organization. We have a breadth of different systems, ranging from client-facing web-apps to our highly-scalable, fast, deep-learning pipeline. We leverage AWS, Rails, C++, Caffe, Postgres and much more to develop and deliver our products. We are also looking to leverage no-sql databases as our data sizes and performance needs grow.

What you'll do:
Design and Implement scalable, maintainable backend systems to meet product requirements
Collaborate with the machine learning and data science teams to gather functional data infrastructure requirements
Build and manage tools for our clients as well as for our Deep-learning applications
Work with the Product/business teams to take high-level tasks and transform them into shippable software
Design, build, and implement a database architecture for scale (currently using Postgres now but open to others)
Take ownership of all database schemas and be the single point of contact for all schema related changes.
Performance tuning, query optimizations, analysis, and optimization of database infrastructure and complementary technologies
Must have experience working with multi-hybrid heterogenous data (i.e. being able to take data from multiple sources--vendors, clients, internal generated data, ground truth data, etc.--that come in multiple formats and turn it into usable data in our production environment)
Mentor, coach, and train other team members as needed

Skills / Requirements:

Experience: 
5+ years experience building software in a professional environment. You know what it means to put software into the hands of someone else and you have the ability to deliver.
Strong Architecture skills: 
The language and stack may change, but high-quality code does not. You thrive on not only coding solutions that solve today's problems, but can be scaled and extended quickly.
Education:
BS/MS in Computer Science or demonstrated equivalent working experience
Scalable backend:
You understand scalability challenges and performance of server-side code. You can design and develop horizontally-scalable, resilient and performing-under-load systems.
Cloud:"
Lead DevOps Engineer (Growth to Manager),https://sfbay.craigslist.org/sby/sof/d/lead-devops-engineer-growth/6635136266.html,san jose north,up to 210k per year depending on experience,full-time,"A Series B startup in Sunnyvale is building out an Artificial Intelligence platform that will facilitate supply chain management. They are quickly outgrowing this office and planning to move to San Jose. The engineering team is looking to bring on their first DevOps engineer in the USA, and this person will not only build the Infrastructure as Code solution but be a key part of decision-making and architecture. The goal for this position is to grow you into a DevOps Manager, though initially your will not have direct reports.

Ideally you will have had previous experience building out a similar environment in a public cloud and utilizing modern tools such as Docker, Kubernetes, Hashicorp, and ELK.

Required Skills & Experience
Linux Fundamentals
Scripting and Automation with Bash and Python
Built out a CI/CD system
Orchestration/Configuration with Terraform, Ansible, or Salt
Experience setting up AWS/Google Cloud

Desired Skills & Experience
Development Experience
Kubernetes or Swarm knowledge
Experience Building a DevOps team within a startup

What You Will Be Doing
60% Hands On
30% Architecture and Design
10% Mentorship"
Structural Engineer Position Available,https://sfbay.craigslist.org/sby/egr/d/structural-engineer-position/6635329243.html,san jose downtown,"$25.00 - $30.00, may vary after quarterly assessment",full-time,"Job description
SBCE; a Small structural Company located in San Jose California looking for a Structural Engineer. 

Are you a structural engineer with diverse work experience and a passion for designing projects that will last far into the future? If so, we want you to join our team and use your expertise to help us deliver exceptional designs to our diverse range of commercial and government clients. You will have a chance to participate in every step of the process, from initial design to final unveiling, and you will be working with a team of experts dedicated to finding the most innovative solutions to challenging project requirements. We value our employees and believe a positive work environment encourages the best results, so we offer generous pay and benefits along with numerous career development and advancement opportunities. 

Job Responsibilities 
 Design structural components for large-scale projects, including analyzing survey reports, topographical maps, zoning restrictions and client requirements to ensure specifications meet project goals 
 Review blueprints, plans and change orders to verify structural integrity of materials and designs, and perform complex calculations and use modeling methods to ensure correct results 

 Participate in initial planning and bidding processes, including reviewing environmental factors, government regulations, constructions costs and risk analysis reports to prepare comprehensive study on all relevant design factors

  Research existing and new material technology to determine practical applications, strength and durability expectations and cost-benefits information, and prepare material recommendations for current and future projects

  Create and present structural overviews for upcoming projects, and develop reports that include technical details for engineers as well as big-picture analysis and cost estimates for project managers and senior executives 

  Use AutoCAD and other drafting software programs to create 2D design documents and overall structural plans according to client needs and project requirements for deliverables

  Prepare documentation for private and government clients covering project plans and progress, change orders, environmental impact findings, ownership transfers and other relevant information

  Assess structural systems of new buildings, evaluating the integrity of construction and materials used to determine areas that need remediation

  Investigate structural failures of buildings, including all components and materials used

  Plan proposals to secure public funding for the repair and preservation of historic buildings including cost estimations

  Supervise building projects, including coordinating lead construction personnel and conducting staff job performance reviews 
  Train staff in best construction practices that align with code compliance in a variety of structural types, 



Job Skills & Qualifications Required: 

  Bachelor's degree in civil or structural engineering, plus minimum of five years of relevant work experience

  Proficient with AutoCAD

  Decisive with excellent critical thinking skills

  Good written and verbal communication abilities, including preparing and giving presentations 

Preferred: 

Bachelor of Science in Civil Engineering with 3 to 5 years of experience in construction site     
-Management Knowledge of current building codes for a variety of structural types 
-Proven success in developing engineering solutions in historical restoration and structural repair for code compliance 
-Experience with using engineering softwares, including AutoCAD and BIM Experience in seismic design and dynamic analysis preferred 
 Professional Engineer license 
 Master's degree in engineering is a plus"
Software Engineer - Unity Tools Developer at IGG,https://sfbay.craigslist.org/eby/sof/d/software-engineer-unity-tools/6618092903.html,fremont / union city / newark,TBD,full-time,"IGG is seeking a talented Unity Tools Developer to join our US Marketing team. You will help make beautiful marketing content for our hit mobile games Castle Clash, Lords Mobile, Deck Heroes and many more!

The Software Engineer/Tools Developer is responsible for scripting game, simulation platforms, and programming tools for the art team to help speed up production.

This position requires collaborating with discipline leads and other team members to meet deadlines while observing the existing style and technical restraints. Artistic talent, experience, effective communication and teamwork are essential components of a successful applicant.

Job Responsibilities
● Design and implement development tools in Unity3d environment for the video production team of all disciplines.
● Resolve technical problems and success challenges throughout assets production.
● Bring innovation and demonstrate creativity within constraints of tools development.
● Maintain pipelines and tools with the goal of stability, error-free operation.

Requirements
● Familiar with Unity3d Architecture and development paradigms.
● BA/BS in video game programming/computer programming or equivalent.
● Good experience with various scripting languages (C#, Python / Mel, MaxScript)
● Experience with version control.
● Strong software design, development, and programming skills.
● Strong knowledge of 3DS Max and Maya.
● Demonstrate artistic and technical creativity.
● Able to adapt production procedures and processes to latest technological developments in programming and graphics.
● Self-motivated and strong team player.
● Excellent communicator.

Pluses
● Minimum 2 years experience in application or tools programming.
● Have experience with AI, pathfinding, physics, UI.
● Knowledge with rendering, game engines.
● Interest in pop culture, movies, and games.
● Familiarity with game development disciplines outside engineering.

This is a full-time position with medical benefits, paid sick/vacation days, and 401k (after a probationary period.)

Learn more about us at !

TO APPLY: Please send the following materials with Subject line: IGG Unity Tool Developer
● Cover Letter
● Resume
● Online portfolio (if applicable)"
